IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
151.145.64.170,2087,2087,TRUE,Tokyo,Asia Pacific,Tokyo,224,11.90
155.248.176.98,2053,2053,TRUE,Tokyo,Asia Pacific,Tokyo,111,11.89
141.147.52.228,443,443,TRUE,Amsterdam,Europe,Amsterdam,191,11.87
158.101.140.255,2083,2083,TRUE,Tokyo,Asia Pacific,Tokyo,83,11.84
158.101.205.146,443,443,TRUE,Frankfurt,Europe,Frankfurt,207,11.83
140.238.54.166,2096,2096,TRUE,Tokyo,Asia Pacific,Tokyo,156,11.82
152.67.135.145,443,443,TRUE,Frankfurt,Europe,Frankfurt,177,11.82
84.235.167.127,443,443,TRUE,Frankfurt,Europe,Frankfurt,179,11.81
89.168.64.227,443,443,TRUE,Frankfurt,Europe,Frankfurt,169,11.80
130.61.11.98,443,443,TRUE,Amsterdam,Europe,Amsterdam,169,11.79
132.145.121.247,2096,2096,TRUE,Tokyo,Asia Pacific,Tokyo,107,11.78
151.145.68.166,2096,2096,TRUE,Tokyo,Asia Pacific,Tokyo,176,11.78
141.147.191.211,2096,2096,TRUE,Tokyo,Asia Pacific,Tokyo,170,11.77
141.147.167.44,2087,2087,TRUE,Tokyo,Asia Pacific,Tokyo,88,11.76
152.70.185.19,443,443,TRUE,Amsterdam,Europe,Amsterdam,171,11.75
131.186.41.255,2083,2083,TRUE,Tokyo,Asia Pacific,Tokyo,112,11.73
141.147.191.211,2053,2053,TRUE,Tokyo,Asia Pacific,Tokyo,113,11.71
141.147.174.190,2053,2053,TRUE,Tokyo,Asia Pacific,Tokyo,107,11.70
158.178.148.142,443,443,TRUE,Frankfurt,Europe,Frankfurt,157,11.70
140.238.33.94,2053,2053,TRUE,Tokyo,Asia Pacific,Tokyo,125,11.70
144.24.187.47,443,443,TRUE,Frankfurt,Europe,Frankfurt,183,11.70
158.179.186.138,2096,2096,TRUE,Tokyo,Asia Pacific,Tokyo,70,11.68
140.238.35.78,2096,2096,TRUE,Tokyo,Asia Pacific,Tokyo,105,11.67
158.101.139.42,8443,8443,TRUE,Tokyo,Asia Pacific,Tokyo,90,11.67
155.248.162.160,2053,2053,TRUE,Tokyo,Asia Pacific,Tokyo,83,11.67
151.145.75.28,2087,2087,TRUE,Tokyo,Asia Pacific,Tokyo,84,11.66
